CIP,CIPTitle
51.1009,Phlebotomy Technician/Phlebotomist.
51.1010,Cytogenetics/Genetics/Clinical Genetics Technology/Technologist.
51.1011,Renal/Dialysis Technologist/Technician.
51.1012,Sterile Processing Technology/Technician.
51.1099,"Clinical/Medical Laboratory Science and Allied Professions, Other."
51.1405,Tropical Medicine.
51.1501,Substance Abuse/Addiction Counseling.
51.1503,Clinical/Medical Social Work.
51.1511,Medical Family Therapy/Therapist.
51.1512,Hospice and Palliative Care.
51.2001,Pharmacy.
51.2002,Pharmacy Administration and Pharmacy Policy and Regulatory Affairs.
51.2003,Pharmaceutics and Drug Design.
51.2004,Medicinal and Pharmaceutical Chemistry.
51.2005,Natural Products Chemistry and Pharmacognosy.
51.2006,Clinical and Industrial Drug Development.
51.2007,Pharmacoeconomics/Pharmaceutical Economics.
51.2008,"Clinical, Hospital, and Managed Care Pharmacy."
51.2009,Industrial and Physical Pharmacy and Cosmetic Sciences.
51.2010,Pharmaceutical Sciences.
51.2011,Pharmaceutical Marketing and Management.
51.2099,"Pharmacy, Pharmaceutical Sciences, and Administration, Other."
51.2201,"Public Health, General."
51.2202,Environmental Health.
51.2205,Health/Medical  Physics.
51.2206,Occupational Health and Industrial Hygiene.
51.2207,Public Health Education and Promotion.
51.2208,Community Health and Preventive Medicine.
51.2209,Maternal and Child Health.
51.2212,Behavioral Aspects of Health.
51.2213,Patient Safety and Healthcare Quality.
51.2214,Public Health Genetics.
51.2299,"Public Health, Other."
51.2300,"Rehabilitation and Therapeutic Professions, General."
51.2301,Art Therapy/Therapist.
51.2302,Dance Therapy/Therapist.
51.2305,Music Therapy/Therapist.
51.2306,Occupational Therapy/Therapist.
51.2307,Orthotist/Prosthetist.
51.2308,Physical Therapy/Therapist.
51.2309,Therapeutic Recreation/Recreational Therapy.
51.2310,Vocational Rehabilitation Counseling/Counselor.
51.2311,Kinesiotherapy/Kinesiotherapist.
51.2313,Animal-Assisted Therapy.
51.2314,Rehabilitation Science.
51.2315,Drama Therapy/Therapist.
51.2316,Horticulture Therapy/Therapist.
51.2317,Play Therapy/Therapist.
51.2399,"Rehabilitation and Therapeutic Professions, Other."
51.2604,Rehabilitation Aide.
51.2605,Physical Therapy Technician/Aide.
51.3202,Health Professions Education.
51.3203,Nursing Education.
51.3501,Massage Therapy/Therapeutic Massage.
51.3502,Asian Bodywork Therapy.
51.3503,Somatic Bodywork.
51.3599,"Somatic Bodywork and Related Therapeutic Services, Other."
51.3602,Yoga Teacher Training/Yoga Therapy.
51.3603,Hypnotherapy/Hypnotherapist.
51.3801,Registered Nursing/Registered Nurse.
51.3802,Nursing Administration.
51.3803,Adult Health Nurse/Nursing.
51.3804,Nurse Anesthetist.
51.3805,Family Practice Nurse/Nursing.
51.3806,Maternal/Child Health and Neonatal Nurse/Nursing.
51.3807,Nurse Midwife/Nursing Midwifery.
51.3808,Nursing Science.
51.3809,Pediatric Nurse/Nursing.
51.3810,Psychiatric/Mental Health Nurse/Nursing.
51.3811,Public Health/Community Nurse/Nursing.
51.3812,Perioperative/Operating Room and Surgical Nurse/Nursing.
51.3813,Clinical Nurse Specialist.
51.3814,Critical Care Nursing.
51.3815,Occupational and Environmental Health Nursing.
51.3816,Emergency Room/Trauma Nursing.
51.3818,Nursing Practice.
51.3819,Palliative Care Nursing.
51.3820,Clinical Nurse Leader.
51.3821,Geriatric Nurse/Nursing.
51.3822,Women's Health Nurse/Nursing.
51.3824,Forensic Nursing.
51.3899,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other."
51.3901,Licensed Practical/Vocational Nurse Training.
51.3999,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other."
52.0101,"Business/Commerce, General."
52.0201,"Business Administration and Management, General."
52.0202,"Purchasing, Procurement/Acquisitions and Contracts Management."
52.0203,"Logistics, Materials, and Supply Chain Management."
52.0204,Office Management and Supervision.
52.0205,Operations Management and Supervision.
52.0206,Non-Profit/Public/Organizational Management.
52.0207,Customer Service Management.
52.0208,E-Commerce/Electronic Commerce.
52.0210,Research and Development Management.
52.0211,Project Management.
52.0212,Retail Management.
52.0213,Organizational Leadership.
52.0301,Accounting.
52.0302,Accounting Technology/Technician and Bookkeeping.
52.0303,Auditing.
52.0304,Accounting and Finance.
52.0305,Accounting and Business/Management.
52.0401,"Administrative Assistant and Secretarial Science, General."
52.0402,Executive Assistant/Executive Secretary.
52.0406,Receptionist.
52.0408,General Office Occupations and Clerical Services.
52.0409,"Parts, Warehousing, and Inventory Management Operations."
52.0410,"Traffic, Customs, and Transportation Clerk/Technician."
52.0411,Customer Service Support/Call Center/Teleservice Operation.
52.0501,"Business/Corporate Communications, General."
52.0599,"Business/Corporate Communications, Other."
52.0601,Business/Managerial Economics.
52.0701,Entrepreneurship/Entrepreneurial Studies.
52.0702,Franchising and Franchise Operations.
52.0801,"Finance, General."
52.0804,Financial Planning and Services.
52.0806,International Finance.
52.0807,Investments and Securities.
52.0808,Public Finance.
52.0810,Financial Risk Management.
52.0907,Meeting and Event Planning.
52.0909,"Hotel, Motel, and Restaurant Management."
52.1001,"Human Resources Management/Personnel Administration, General."
52.1002,Labor and Industrial Relations.
52.1003,Organizational Behavior Studies.
52.1004,Labor Studies.
52.1006,Executive/Career Coaching.
52.1099,"Human Resources Management and Services, Other."
52.1101,International Business/Trade/Commerce.
52.1301,Management Science.
52.1302,Business Statistics.
52.1304,Actuarial Science.
52.1401,"Marketing/Marketing Management, General."
52.1402,Marketing Research.
52.1403,International Marketing.
52.1404,Digital Marketing.
52.1499,"Marketing, Other."
52.1601,Taxation.
52.1701,Insurance.
52.1801,"Sales, Distribution, and Marketing Operations, General."
52.1803,Retailing and Retail Operations.
52.1804,Selling Skills and Sales Operations.
52.1899,"General Merchandising, Sales, and Related Marketing Operations, Other."
52.1902,Fashion Merchandising.
52.1904,Apparel and Accessories Marketing Operations.
52.1905,Tourism and Travel Services Marketing Operations.
52.1906,Tourism Promotion Operations.
52.1907,Vehicle and Vehicle Parts and Accessories Marketing Operations.
52.1908,Business and Personal/Financial Services Marketing Operations.
52.1909,Special Products Marketing Operations.
52.1910,Hospitality and Recreation Marketing Operations.
52.2002,Construction Project Management.
52.2099,"Construction Management, Other."
52.2101,Telecommunications Management.
60.0102,Dental Public Health Residency Program.
60.0106,Pediatric Dentistry Residency Program.
60.0701,"Nurse Practitioner Residency/Fellowship Program, General."
60.0702,Combined Nurse Practitioner Residency/Fellowship Program.
60.0703,Acute Care Nurse Practitioner Residency/Fellowship Program.
60.0704,Adult/Gerontology Acute Care Nurse Practitioner Residency/Fellowship Program.
60.0705,Adult/Gerontology Critical Care Nurse Practitioner Residency/Fellowship Program.
60.0706,Cardiology/Cardiovascular Nurse Practitioner Residency/Fellowship Program.
60.0707,Clinical Informatics Nurse Practitioner Residency/Fellowship Program.
60.0708,Dermatology Nurse Practitioner Residency/Fellowship Program.
60.0709,Developmental and Behavioral Pediatrics Nurse Practitioner Residency/Fellowship Program.
60.0710,Diabetes Nurse Practitioner Residency/Fellowship Program.
60.0711,Emergency Medicine Nurse Practitioner Residency/Fellowship Program.
60.0712,Endocrinology Nurse Practitioner Residency/Fellowship Program.
60.0713,Family Medicine Nurse Practitioner Residency/Fellowship Program.
60.0714,Gastroenterology and Hepatology Nurse Practitioner Residency/Fellowship Program.
60.0715,Gastroenterology Nurse Practitioner Residency/Fellowship Program.
60.0716,Genetics Nurse Practitioner Residency/Fellowship Program.
60.0717,Gerontology Nurse Practitioner Residency/Fellowship Program.
60.0718,Global Health Nurse Practitioner Residency/Fellowship Program.
60.0719,Hematology-Oncology Nurse Practitioner Residency/Fellowship Program.
60.0720,Hepatology Nurse Practitioner Residency/Fellowship Program.
60.0721,Home-Based Primary Care Nurse Practitioner Residency/Fellowship Program.
60.0722,Hospice and Palliative Medicine Nurse Practitioner Residency/Fellowship Program.
60.0723,Hospital Medicine Nurse Practitioner Residency/Fellowship Program.
60.0724,Infectious Diseases Nurse Practitioner Residency/Fellowship Program.
60.0725,Neonatal Nurse Practitioner Residency/Fellowship Program.
60.0726,Nephrology Nurse Practitioner Residency/Fellowship Program.
60.0727,Neurology Nurse Practitioner Residency/Fellowship Program.
60.0728,Neuroscience Nurse Practitioner Residency/Fellowship Program.
60.0729,Obstetrics and Gynecology Nurse Practitioner Residency/Fellowship Program.
60.0730,Occupational Health Nurse Practitioner Residency/Fellowship Program.
60.0731,Orthopedic Nurse Practitioner Residency/Fellowship Program.
60.0732,Orthopedic Surgery Nurse Practitioner Residency/Fellowship Program.
60.0733,Pain Management Nurse Practitioner Residency/Fellowship Program.
60.0734,Palliative Care Nurse Practitioner Residency/Fellowship Program.
60.0735,Pediatric Hematology-Oncology Nurse Practitioner Residency/Fellowship Program.
60.0736,Pediatric Nurse Practitioner Residency/Fellowship Program.
60.0737,Pediatric Rehabilitation Nurse Practitioner Residency/Fellowship Program.
60.0738,Psychiatric/Mental Health Nurse Practitioner Residency/Fellowship Program.
60.0739,Public/Community Health Nurse Practitioner Residency/Fellowship Program.
60.0740,Pulmonary Nurse Practitioner Residency/Fellowship Program.
60.0741,Rheumatology Nurse Practitioner Residency/Fellowship Program.
60.0742,Rural Health Nurse Practitioner Residency/Fellowship Program.
60.0743,Sleep Medicine Nurse Practitioner Residency/Fellowship Program.
60.0744,Surgical and Critical Care Nurse Practitioner Residency/Fellowship Program.
60.0745,Surgical Wound and Reconstruction Nurse Practitioner Residency/Fellowship Program.
60.0746,Transplantation Nurse Practitioner Residency/Fellowship Program.
60.0747,Trauma and Critical Care Nurse Practitioner Residency/Fellowship Program.
60.0748,Urgent Care Nurse Practitioner Residency/Fellowship Program.
60.0749,Urology Nurse Practitioner Residency/Fellowship Program.
60.0750,Women's Health Nurse Practitioner Residency/Fellowship Program.
60.0751,Wound Care Nurse Practitioner Residency/Fellowship Program.
60.0799,"Nurse Practitioner Residency/Fellowship Program, Other."
60.0901,"Physician Assistant Residency/Fellowship Program, General."
60.0902,Combined Physician Assistant Residency/Fellowship Program.
60.0903,Acute Care Medicine Physician Assistant Residency/Fellowship Program.
60.0904,Acute Care Surgery Physician Assistant Residency/Fellowship Program.
60.0905,Cardiology Physician Assistant Residency/Fellowship Program.
60.0906,Cardiothoracic Surgery Physician Assistant Residency/Fellowship Program.
60.0907,Critical Care Physician Assistant Residency/Fellowship Program.
60.0908,Critical Care and Trauma Surgery Physician Assistant Residency/Fellowship Program.
60.0909,Emergency Medicine Physician Assistant Residency/Fellowship Program.
60.0910,ENT Surgery Physician Assistant Residency/Fellowship Program.
60.0911,Family Medicine Physician Assistant Residency/Fellowship Program.
60.0912,Geriatrics Physician Assistant Residency/Fellowship Program.
60.0913,Hematology-Oncology Physician Assistant Residency/Fellowship Program.
60.0914,Hepatobiliary Surgery Physician Assistant Residency/Fellowship Program.
60.0915,Hospitalist Physician Assistant Residency/Fellowship Program.
60.0916,Neurosurgery Physician Assistant Residency/Fellowship Program.
60.0917,Orthopedic Surgery Physician Assistant Residency/Fellowship Program.
60.0918,Pediatric Surgery Physician Assistant Residency/Fellowship Program.
60.0919,Transplant Surgery Physician Assistant Residency/Fellowship Program.
60.0920,Urology Physician Assistant Residency/Fellowship Program.
60.0999,"Physician Assistant Residency/Fellowship Program, Other."
61.0101,"Combined Medical Residency/Fellowship Program, General."
61.0102,Diagnostic Radiology/Nuclear Medicine Combined Specialty Program.
61.0103,Emergency Medicine/Anesthesiology Combined Specialty Program.
61.0104,Family Medicine/Emergency Medicine Combined Specialty Program.
61.0105,Family Medicine/Osteopathic Neuromusculoskeletal Medicine Combined Specialty Program.
61.0106,Family Medicine/Preventive Medicine Combined Specialty Program.
61.0107,Family Medicine/Psychiatry Combined Specialty Program.
61.0108,Internal Medicine/Anesthesiology Combined Specialty Program.
61.0109,Internal Medicine/Dermatology Combined Specialty Program.
61.0110,Internal Medicine/Emergency Medicine Combined Specialty Program.
61.0111,Internal Medicine/Emergency Medicine/Critical Care Medicine Combined Specialty Program.
61.0112,Internal Medicine/Family Medicine Combined Specialty Program.
61.0113,Internal Medicine/Medical Genetics and Genomics Combined Specialty Program.
61.0114,Internal Medicine/Neurology Combined Specialty Program.
61.0115,Internal Medicine/Pediatrics Combined Specialty Program.
61.0116,Internal Medicine/Preventive Medicine Combined Specialty Program.
61.0117,Internal Medicine/Psychiatry Combined Specialty Program.
61.0118,Medical Genetics and Genomics/Maternal-Fetal Medicine Combined Specialty Program.
61.0119,Pediatrics/Anesthesiology Combined Specialty Program.
61.0120,Pediatrics/Emergency Medicine Combined Specialty Program.
61.0121,Pediatrics/Medical Genetics and Genomics Combined Specialty Program.
61.0122,Pediatrics/Physical Medicine & Rehabilitation Combined Specialty Program.
61.0123,Pediatrics/Psychology/Child-Adolescent Psychology Combined Specialty Program.
61.0124,Psychiatry/Neurology Combined Specialty Program.
61.0125,Reproductive Endocrinology and Infertility/Medical Genetics and Genomics Combined Specialty Program.
61.0199,"Combined Medical Residency/Fellowship Programs, Other."
61.0202,Critical Care Medicine Fellowship Program.
61.0203,Geriatric Medicine Fellowship Program.
61.0204,Health Policy Fellowship Program.
61.0205,Hospice and Palliative Medicine Fellowship Program.
61.0206,Integrative Medicine Fellowship Program.
61.0207,Medical Education Fellowship Program.
61.0208,Medical Toxicology Fellowship Program.
61.0209,Neuromuscular Medicine Fellowship Program.
61.0210,Pain Medicine Fellowship Program.
61.0211,Simulation Fellowship Program.
61.0212,Sleep Medicine Fellowship Program.
61.0213,Sports Medicine Fellowship Program.
61.0214,Surgery of the Hand Fellowship Program.
61.0215,Telemedicine Fellowship Program.
61.0216,Undersea and Hyperbaric Medicine Fellowship Program.
61.0217,Wilderness Medicine Fellowship Program.
61.0218,Women's Health Fellowship Program.
61.0299,"Multiple-Pathway Medical Fellowship Programs, Other."
61.0301,Allergy and Immunology Fellowship Program.
61.0399,"Allergy and Immunology Residency/Fellowship Programs, Other."
61.0401,Anesthesiology Residency Program.
61.0499,"Anesthesiology Residency/Fellowship Programs, Other."
61.0501,Dermatology Residency Program.
61.0502,Dermatopathology Fellowship Program.
61.0503,Pediatric Dermatology Fellowship Program.
61.0599,"Dermatology Residency/Fellowship Programs, Other."
61.0601,Emergency Medicine Residency Program.
61.0602,Disaster Medicine Fellowship Program.
61.0603,Emergency Medical Services Fellowship Program.
61.0699,"Emergency Medicine Residency/Fellowship Programs, Other."
61.0701,Family Medicine Residency Program.
61.0799,"Family Medicine Residency/Fellowship Programs, Other."
61.0801,Internal Medicine Residency Program.
61.0804,Cardiovascular Disease Fellowship Program.
61.0805,Clinical Cardiac Electrophysiology Fellowship Program.
61.0806,"Endocrinology, Diabetes, and Metabolism Fellowship Program."
61.0807,Gastroenterology Fellowship Program.
61.0808,Hematology Fellowship Program.
61.0809,Hematology-Oncology Fellowship Program.
61.0810,Infectious Disease Fellowship Program.
61.0811,Interventional Cardiology Fellowship Program.
61.0812,Nephrology Fellowship Program.
61.0813,Medical Oncology Fellowship Program.
61.0814,Pulmonary Disease Fellowship Program.
61.0816,Rheumatology Fellowship Program.
61.0818,Transplant Hepatology Fellowship Program.
61.0899,"Internal Medicine Residency/Fellowship Programs, Other."
61.0901,Clinical Biochemical Genetics Residency Program.
61.0902,Clinical Genetics and Genomics Residency Program.
61.0903,Laboratory Genetics and Genomics Residency Program.
61.0904,Medical Biochemical Genetics Residency Program.
