PROVIDERID,NAME,SCHOOLIDENTIFICATIONNUMBER,STREET1,STREET2,CITY,STATE,ZIP,COUNTY,MSTREET1,MSTREET2,MCITY,MSTATE,MZIP,CONTACTFIRSTNAME,CONTACTLASTNAME,CONTACTTITLE,PHONE,PHONEEXTENSION,FAX,WEBSITE,EMAIL,LICENSINGAGENCYID,TYPEID,NONGOVAPPROVAL,CERTAPPROVALEXP,CUSTOMIZED,DISTANCELEARNING,SPEAKSPANISH,OTHERLANGUAGES,LANGUAGES,CAREERASSIST,ONESTOPCAREER,PERSONALASSIST,ACCESSAJBATB,CHILDCARE,ASSISTOBTAININGCHILDCARE,EVENINGCOURSES,ACCESSFORDISABLED,BUSROUTE1,BUSROUTE2,TRNROUTE1,TRNROUTE2,WIBCOMMENT,STATECOMMENT,DTSUBMITTED,STATUSNAME
1301,Rutgers Center for Continuing Professional Development,22600108612,Rutgers Lifelong Learning Center,3 Rutgers Plaza,New Brunswick,NJ,8901,Middlesex,Rutgers Lifelong Learning Center,3 Rutgers Plaza,New Brunswick,NJ,8901,CCPD,CCPD,CCPD Enrollment Services,8489324708,,7329327164,http://ccpd.rutgers.edu,ccpd@docs.rutgers.edu,16,12,,7/1/2026 12:00:00 AM,2,1,1,1,"""Korean, Spanish""",1,1,2,1,2,2,2,1,"""George St. New Brunswick, NJ""",,New Brunswick Train Station,,,"""5/28/2022 - ETPL renewal expiration - SAZ

06/07/2020 -  ETPL Renewal Approval Expiration Date. SH

8/4/2018- ETPL Renewal Approval Expiration Date. Jde

08/18/2017 - ETPL Renewal Approval Expiration Date. DBarry.""",7/16/2001 3:11:43 PM,Approved
1263,Camden County College - Academic Programs - WIOA Title 2,221821290000,200 College Drive,,Blackwood,NJ,8012,Camden,200 College Drive,,Blackwood,NJ,8012,Michelle,Barnhill,Administrative Assistant,8562277200,4469,8563744959,www.camdencc.edu,mbarnhill@camdencc.edu,16,3,,6/30/2021 12:00:00 AM,1,1,1,2,,1,1,2,1,2,2,1,1,"""452,403,400""",,None Available,,,"""09/26/2021 - ETPL Renewal Approval Expiration Date. JH

8/26/2020 - Per J. Cohen, FY 20/21 approved WIOA Title 2 Lead Agency - SAZ

12/6/19 ETPL renewal approval Exp Date, AL

7/8/19 - Per J. Cohen, FY19/20 Title II lead agency, per J. Cohen - SAZ

12/4/17 no ETPL renewal app - SAZ""",4/30/2001 10:13:50 AM,Approved
1271,"""E-Z Wheels Driving School, Inc. - Passaic""",223759042,954 Main Avenue,,Passaic,NJ,7055,Passaic,954 Main Avenue,,Passaic,NJ,7055,Maria,Rodriguez,Student Coordinator,9734700190,,9734700175,http://ezwheelsdriving.com,passaic@ezwheelsdriving.com,11,18,,12/31/2021 12:00:00 AM,1,2,1,1,"""Portuguese, Spanish""",1,1,1,1,2,2,1,2,"""NJ Transit #s: 74, 161, 190, 702, 703, 705, 707, 709, 758, 780""",none available,"""NJ Transit Main Line, Bergen County Line, Port Jervis Line""",None available,,"""10/16/2021-ETPL Renewal Approval Expiration Date. DBailey

10/16/2019 - ETPL Renewal application approval expiration date. SH

1/3/19 COA expired - SAZ (1/4/19 COA updated/reinstated)

3/13/18 COA expired - SAZ (3/14/18 reinstated)
08/26/17-ETPL Renewal Approval Expiration Date. DBailey

4/6/17 updated COA - SAZ""",5/24/2001 12:38:10 PM,Approved
1220,Raritan Valley Community College,221815636000,118 Lamington Road,,Branchburg,NJ,8876,Somerset,118 Lamington Road,,Branchburg,NJ,8876,Jackie,Estreicher,Assistant Dean Curriculum,9085261200,8405,9082536696,www.raritanval.edu,jackie.estreicher@raritanval.edu,16,3,Middle States Association for Colleges & Universities,,1,1,1,2,,1,1,1,1,1,2,1,1,Somerset County shuttle CAT 1-R and CAT 2-R Monday - Friday $2 per ride,Hunterdon County LINK $2 unlim.boarding 8:05 am/10:05 am/1:05 pm/3:05 pm/5:05 pm,NJ Transit North Branch Station 1 mile from College,Free Ride Home with RideWise,,"""02/21/2022 - ETPL Renewal Application Approval Expiration Date. SH

02/28/2020-ETPL Renewal Approval Expiration Date. JH
12/20/2017 - ETPL Renewal Approval Expiration Date. DBarry.""",1/16/2001 11:56:22 AM,Approved
1194,Atlantic County Special Services School District - WIOA YOUTH,222985454000,High School,4805 Nawakwa Boulevard,Mays Landing,NJ,8330,Atlantic,High School,4805 Nawakwa Boulevard,Mays Landing,NJ,8330,Ted,Derenberger,Principal,6096255663,1406,6096256453,www.acsssd.net,"""eflecken@acsssd.net, tderenberger@acsssd.net""",220,6,,6/30/2021 12:00:00 AM,2,2,1,2,,1,1,1,1,2,2,2,1,special district bus transportation,,,,,"""6/30/2021 WIOA Youth contract expiration - SAZ
6/30/20 WIOA Youth contract expiration - SAZ

6/30/19 WIOA Youth contract expiration - SAZ

7/2/18 COA/ETPL expired - SAZ

06/30/2018-ETPL Renewal Approval Expiration date. JH""",11/1/2000 3:16:02 PM,Approved
1151,Warren County Technical School,226016761000,1500 Route 57,,Washington,NJ,7882,Warren,1500 Route 57,,Washington,NJ,7882,Gary,Colucci,Director,9088352809,,9086897699,www.wctech.org,coluccig@wctech.org,18,2,,,2,2,2,2,,1,1,2,2,2,2,1,1,None available,,None available,,,"""6/2/2022 ETPL renewal expiration - SAZ

12/11/2019-ETPL Renewal Approval Expiration Date. JH

12/5/18 no students for 4th quarter, per provider - SAZ
2/1/17- ETPL Renewal Approval Expiration Date. DBailey""",8/28/2000 9:51:40 AM,Approved
1150,Rowan College of South Jersey Cumberland Campus,22608844000,3322 College Drive,,Vineland,NJ,8362,Cumberland,3322 College Drive,,Vineland,NJ,8360,Trinee,Parson,Student Development Advisor-Workforce/Generalist,8566918600,1381,8566916483,www.rcsj.edu,tparson@rcsj.edu,16,3,Middle State Accreditation,,1,1,1,1,"""French, Italian, Russian, Spanish""",1,1,1,2,2,1,1,1,553,N/A,None available,,,"""10/16/2021-ETPL Renewal Approval Expiration Date. Dbailey

9/20/2019 - ETPL Renewal Approval Expiration Date. JH

7/1/19 updated per provider's merger documentation - SAZ

2/14/17-ETPL Renewal Approval Expiration date.DBailey""",8/23/2000 10:42:53 AM,Approved
1109,"""E-Z Wheels Driving School, Inc. - Union City""",223759042001,1518 Summit Avenue,,Union City,NJ,7087,Hudson,1518 Summit Avenue,,Union City,NJ,7087,Maria,Rodriguez,Student Coordinator,2018643600,,2018644436,http://ezwheelsdriving.com/,ezwheels@hotmail.com,11,18,,12/31/2021 12:00:00 AM,1,2,1,1,"""Portuguese, Spanish""",1,1,1,1,2,2,1,2,"""NJ Transit #s: 22, 82, 83, 84, 85, 86, 87, 88, 89, 123, 125""",none available,"""Take any NJ Transit train to Hoboken, then transfer to #85 bus""",none available,,"""12/23/21- ETPL Renewal Application Approval Expiration: AL

1/16/2020 suspended for non-compliance of 4th quarter student record reporting - SAZ (1/31/2020 reinstated)

12/31/19 - ETPL Renewal Application Approval Expiration. JH

10/16/2019 - ETPL Renewal application approval expiration date. SH

1/3/19 COA expired - SAZ (1/4/19 COA updated/reinstated)

3/13/18 COA expired - SAZ (3/14/18 reinstated)
08/26/17-ETPL Renewal Approval Expiration Date. DBailey

4/6/17 updated COA - SAZ

2014 - New Certificate must be submitted yearly. J Voj""",6/29/2000 4:14:58 PM,Approved
1092,Essex County College Non-Credit - WIOA Title 2,221821292001,303 University Avenue,,Newark,NJ,7102,Essex,303 University Avenue,,Newark,NJ,7102,Bert,Shockley,Associate Director,9738773438,,9738773591,www.essex.edu,shockley@essex.edu,16,38,,6/30/2021 12:00:00 AM,1,1,1,1,"""French, Portuguese""",1,1,1,1,1,2,1,1,See NJ Transit website for applicable bus route,,See NJ Transit website for applicable train route.,,,"""8/26/2020 - Per J. Cohen, FY 20/21 approved WIOA Title 2 Lead Agency - SAZ

6/30/20 WIA Title II expiration - SAZ
07/25/19- ETPL Renewal Approval Expiration Date. DBailey

7/8/19 - Per J. Cohen, FY19/20 Title II lead agency, per J. Cohen - SAZ

7/2/18 FY18/19 Title II provider, per J. Cohen - SAZ

9/25/17 approved for FY 17/18 Title II - per J. Cohen - SAZ
suspended for non student record compliance- records were due no later than 6/30/17. -je

11/17/2017 - ETPL Renewal Approval Expiration Date. DBarry.

07/21/2017- ETPL application denied.DBailey

Partner in Title II Grant for 2016/17 (SAZ)""",6/22/2000 12:00:00 AM,Approved
961,Union County College - WIOA Title 2,22151522502,Center For Economic & Workforce Development,40 West Jersey Street,Elizabeth,NJ,7202,Union,40 W. Jersey St.,,Elizabeth,NJ,7202,Marlene,Loff,"""Interim Director, Center for Economic & Workforce""",9089656022,,9086595106,www.ucc.edu,mloff@ucc.edu,16,3,,6/30/2021 12:00:00 AM,2,2,1,1,"""French, Italian, Portuguese, Spanish""",1,1,1,1,2,1,1,1,"""40, 26,52,56,57,59,61,112, 48, 58, 59, 62""",Coach Line #24,N/E Corridor - NJ Transit,North Jersey Coast Line - NJ Transit,,"""10/22/2021 - ETPL Renewal Application Approval Expiration Date. JH

8/26/2020 - Per J. Cohen, FY 20/21 approved WIOA Title 2 Lead Agency - SAZ
12/19/2019 - ETPL renewal application approval expiration date. SH

7/8/19 - Per J. Cohen, FY19/20 Title II lead agency, per J. Cohen - SAZ

7/2/18 FY18/19 Title II provider, per J. Cohen - SAZ

11/23/2017 - ETPL renewal application approval expiration date. SH

9/25/17 approved for FY 17/18 Title II - per J. Cohen - SAZ
Partner Title II Grant FY 2016/17""",6/12/2000 12:34:05 PM,Approved
986,Atlantic Cape Community College - CMCH,237368159000,341 Court House-South Dennis Road,,Cape May Court House,NJ,8210,Atlantic,341 Court House-South Dennis Road,,Cape May Court House,NJ,8210,Carol,Fraone,College Recruiter,6093435009,,6093434921,www.atlantic.edu,"""cfraone@atlantic.edu, jrooney@atlantic.edu""",16,3,,,1,1,2,2,"""French, Chinese, Spanish""",1,1,2,2,2,2,1,1,NJ Transit 502,,None available,,,"""7/22/2022 ETPL renewal approval expiration - SAZ

04/5/2020-ETPL Renewal Approval Expiration Date: AL

04/20/18-ETPL Renewal Approval Expiration Date. DBailey""",6/13/2000 11:19:11 AM,Approved
1003,Ocean County College - Continuing & Professional Education,221757756100,College Drive,P.O. Box 2001,Toms River,NJ,8754,Ocean,College Drive,P.O. Box 2001,Toms River,NJ,8754,Kaitlin,Everett,"""Director, Workforce Education & Community Programs""",7322550400,2816,7328643855,www.ocean.edu,"""keverett@ocean.edu, cpeinfo@ocean.edu""",16,3,,,1,1,1,2,,1,1,1,1,2,1,1,1,NJ Transit 559: 113 stops from Lakewood Bus Terminal to Atlantic City Bus Termin,"""NJ Transit Route 67: 11 stops from Journal Square Transportation Center, Jersey""",None Available,,,"""7/1/2021 - ETPL Renewal  Approval Expiration Date. AL

7/25/19 ETPL approval - DBailey
09/30/2017 - ETPL Renewal Approval Expiration Date. DBarry.""",6/13/2000 12:00:00 AM,Approved
917,"""Employment Horizons, Inc.-Vocational Rehabilitation Services - DVRS""",221612741001,10 Ridgedale Avenue,,Cedar Knolls,NJ,7927,Morris,10 Ridgedale Avenue,,Cedar Knolls,NJ,7927,Nancy,Toolen,Manager of Rehabilitation Services,9735388822,217,9735388808,www.ehorizons.org,ntoolen@ehorizons.org,17,14,CARF International,8/31/2021 12:00:00 AM,2,2,1,2,Spanish,1,1,1,1,2,2,2,1,#871 bus stops by the building,"""These buses connect to #871:  Routes #872, #873, #875, #880""",Morris County Line,None available,,"""05/15/2022 -ETPL renewal application approval expiration date. SH

10/9/2020 approved DVRS provider per J. Briggs - SAZ

8/31/2020 CARF expiration, per Jon Briggs (DVRS)

05/23/2020 - ETPL Renewal Application approval expiration date: AL
05/01/2018 - ETPL Renewal Application approval expiration date. SH

03/30/17- Suspended ETPL Application not received. DBailey""",6/8/2000 3:21:05 PM,Approved
920,Passaic County Community College Credit Programs,221907901000,One College Blvd,,Paterson,NJ,7505,Passaic,One College Blvd.,,Paterson,NJ,7505,Stephanie,Decker,Director of Admissions,9736846868,,9736846778,http://www.pccc.edu,admissions@pccc.edu; cramos@pccc.edu,16,3,Middle States Association of Colleges and Schools,,1,1,1,1,"""Arabic, Spanish""",1,1,1,1,1,1,1,1,"""NJT 746, 748, 74,11, 28, 161, 702, 703, 704, 707, 712, 722""",NJT 194,NJ Transit Main Line Bergen County Line,Connecting Path & Ferry Service,,"""02/12/2023 - ETPL Renewal Application Expiration Date: AL

07/31/2020 - ETPL Renewal Application Expiration Date. JH
4/26/18 ETPL expired; reminder email sent 3/19/18 - SAZ
10/24/2017 - ETPL Renewal Approval Expiration Date. DBarry
Only credit programs should be listed for this application. 1/16/2014""",6/8/2000 5:37:15 PM,Approved
882,Warren County Community College - Washington,222376658000,475 Route 57 West,,Washington,NJ,7882,Warren,445 Marshall Street,,Phillipsburg,NJ,8865,Eve,Aazar,"""VIce President, Corporate and Continuing Education""",9088352432,,9088780170,www.warren.edu,azar@warren.edu,16,3,Middle States,,1,1,1,1,"""French, German, Tagalog (Philipines)""",1,1,1,1,2,1,1,1,Warren County Shuttle,,none available,,,"""12/13/2021- ETPL Renewal Approval Expiration Date. DBailey
09/16/2017 - ETPL renewal Application approval Expiration date. SH""",6/7/2000 10:26:03 AM,Approved
804,Avtech Institute of Technology - South Plainfield - PCS,223581203000,50 Cragwood Rd,3rd Floor,South Plainfield,NJ,7080,Middlesex,50 Cragwood Rd,3rd Floor,South Plainfield,NJ,7080,Steve,Yang,V.P,9082222833,,9082227588,www.avtechusa.com,stevey@avtechusa.com,1,5,,4/30/2021 12:00:00 AM,1,2,1,1,"""Chinese, Spanish""",1,1,1,1,2,2,1,1,No. 819,,Northeast Corridor to Edison or Metuchen train station,,,"""4/30/2021 ETPL Renewal Application approval expiration date. SH

04/30/19- ETPL Renewal Approval Expiration date. DBailey

09/12/17-ETPL Renewal Approval Expiration Date. DBailey

5/10/17 COA expired - SAZ (updated/reinstated)""",5/30/2000 2:36:30 PM,Approved
718,Middlesex County College - Career Training Center,221769370001,2600 Woodbridge Avenue,,Edison,NJ,8818,Middlesex,2600 Woodbridge Avenue,,Edison,NJ,8818,Tracey,Montani,Director - Career Training Center,7329064158,,7329062632,www.middlesexcc.edu,Tmontani@middlesexcc.edu,16,3,,,1,1,1,1,"""Indic/Hindu, Other Languages""",1,1,1,1,1,1,1,1,M14-MCC Edison-New Brunswick,M13-MCC Edison-Perth Amboy,NJ Transit - Metuchen,NJ Transit-New Brunswick/Perth Amboy,,"""10/17/2021 ETPL Renewal Approval Expiration Date: A.L

12/5/19 ETPL Renewal Approval Expiration Date:  ALalla
11/2/17- ETPL Renewal Approval Expiration Date. DBailey""",5/19/2000 4:13:27 PM,Approved
722,Sussex County Community College,222379629000,One College Hill Road,,Newton,NJ,7860,Sussex,One College Hill Road,,Newton,NJ,7860,Mercedes,Aguirre Batty,Vice President of Academic Affrs,9733002131,,9733002277,www.sussex.edu,maguirrebatty@sussex.edu,16,3,Middle States Association of Colleges and Schools,,1,1,2,2,,1,1,2,2,2,1,1,1,Sussex County Transit Route 101,,None Available,,,"""08/06/2021 - ETPL Renewal application approval expiration date. SH

10/31/19 ETPL renewal approval expiration - JH (3/14/18 SAZ)

12/9/17- ETPL Renewal Approval Expiration Date. DBailey""",5/22/2000 12:35:38 PM,Approved
729,William Paterson University,222781603000,School of Continuing and Professional Education,1600 Valley Road,Wayne,NJ,7470,Passaic,1600 Valley Road,,Wayne,NJ,7470,Jasmyne,Beckford,Assistant Director,9737203698,,9737202298,www.wpunj.edu/cpe,goskowskik@wpunj.edu,16,4,,,1,1,1,2,,1,1,1,2,1,2,1,1,NJ transit bus # 744,,,,,"""10/01/2021- ETPL Renewal Application Approval Expiration Date. SH

10/11/2019 - ETPL Renewal Approval Expiration Date. SH

10/31/2017 - ETPL Renewal Approval Expiration Date. DBarry.""",5/22/2000 4:22:25 PM,Approved
741,JFK Johnson Rehabilitation Institute - DVRS,226019101000,308 Talmadge RD,,Edison,NJ,8818,Middlesex,65 James Street,,Edison,NJ,8818,Bert,Kormann,"""Clinical Manager, Vocational Rehabilitation""",7323217069,,7327672925,www.jfkjohnson.org/outpatient-services/vocational-rehabilitation.org,bertalan.kormann@hackensackmeridian.org,17,14,CARF,,1,2,2,2,,1,2,1,1,2,2,2,1,Private shuttle from Metuchen & Dunellen train stations,None Available,None Available,None Available,,"""3/29/21 ETPL Renewal Approval Expiration Date: AL

3/27/19 DVRS approved vendor; need ETPL application to be reinstated - SAZ

01/05/18 - Renewal Approval Expiration Date. DBailey""",5/23/2000 1:42:39 PM,Approved
700,"""Abilities Center of Southern NJ, Inc. - DVRS""",221730510,1208 Delsea Drive,,Westville,NJ,8093,Gloucester,1208 Delsea Drive,,Westville,NJ,8093,Susan,Perron,President / CEO,8568481025,124,8568488429,www.abilities4work.com,sperron@abilities4work.com,17,14,CARF (Commission on Accreditation of Rehabilitation Facilities),,2,2,1,1,Spanish,1,1,1,1,2,2,2,1,408,,none available,,,"""09/13/2021- ETPL Renewal approval Expiration date. DBailey

3/27/19 DVRS vendor - SAZ

11/30/17- ETPL Approval Renewal Application Expiration Date. DBailey
4/6/17 updated COA per Accreditation Letter - SAZ
Center chose not to renew it's Chapter 531 approval.  Suspended from site 5/27/05. MS. Rec'd approval letter from DVRS. School reinstated to ETPL on 6/18/10 by MS.""",5/17/2000 2:13:44 PM,Approved
