providerid,cipcode,PerEmployed2,PerEmployed4,PerEmployed8,AvgQuarterlyWage2,AvgQuarterlyWage4,AvgQuarterlyWage8,PerRetention4,PerRetention8,NumCompleted2,NumCompleted4,NumCompleted8,NumUsedWageCalc2,NumUsedWageCalc4,NumUsedWageCalc8,NumUsedRetentionCalc4,NumUsedRetentionCalc8
65,521001,0,0,-99999,-99999,-99999,-99999,-99999,-99999,14,14,1,0,0,0,0,0
65,522101,0.032258064516129,0.037037037037037,0,-99999,-99999,-99999,-99999,-99999,31,27,10,1,1,0,1,0
68,110103,0.6,0.8,-99999,8394,8975.5,-99999,1,-99999,10,10,0,6,8,0,7,0
68,110201,0.833333333333333,1,-99999,9725,9838,-99999,1,-99999,6,6,0,5,6,0,5,0
68,110501,0.7,0.7,-99999,4607,5561,-99999,0.857142857142857,-99999,10,10,3,7,7,3,7,3
68,111001,0.375,0.75,-99999,-99999,5956.5,-99999,-99999,-99999,8,8,4,3,6,3,3,2
68,120401,0.714285714285714,-99999,-99999,2797,-99999,-99999,-99999,-99999,7,0,0,5,0,0,0,0
68,120501,0.714285714285714,0.571428571428571,-99999,2311,-99999,-99999,-99999,-99999,7,7,0,5,4,0,3,0
68,131202,0.630434782608696,0.709677419354839,-99999,4607,5814.5,-99999,0.882352941176471,-99999,46,31,0,29,22,0,17,0
68,151001,0.513513513513513,0.575757575757576,0.769230769230769,15618,17118,15740.5,1,-99999,37,33,13,19,19,10,13,4
68,460302,0.789115646258503,0.80952380952381,0.923076923076923,9480,9787,11816.5,0.890756302521008,0.934210526315789,147,147,91,116,119,84,119,76
68,460403,0.736363636363636,0.790909090909091,0.833333333333333,13834,14665,16544,0.975,0.971428571428571,110,110,48,81,87,40,80,35
68,460412,0.625,0.625,-99999,18124,19154,-99999,-99999,-99999,8,8,0,5,5,0,4,0
68,460503,0.907692307692308,0.892307692307692,0.916666666666667,12127,13070,13812,0.929824561403509,0.933333333333333,65,65,36,59,58,33,57,30
68,470201,0.8875,0.875,0.836734693877551,8054,8939,10909,0.953125,0.853658536585366,80,80,49,71,70,41,64,41
68,470604,0.714285714285714,0.714285714285714,0.714285714285714,3861.5,6181,9836,0.875,0.8,14,14,7,10,10,5,8,5
68,480508,0.775,0.75,0.882352941176471,6821,6783.5,9050,0.931034482758621,0.909090909090909,40,40,17,31,30,15,29,11
68,510801,0.6,0.7,0.8,6293,5417,5214.5,1,0.833333333333333,10,10,10,6,7,8,6,6
68,510805,0.714285714285714,0.6875,0.777777777777778,4394,4373,6914,0.909090909090909,0.8,21,16,9,15,11,7,11,5
68,510808,0.9375,1,0.875,4221,4225,5277,1,0.875,16,16,8,15,16,7,15,8
68,511011,0.8,0.866666666666667,0.733333333333333,3699,4134,7274,0.818181818181818,0.727272727272727,15,15,15,12,13,11,11,11
68,513902,0.923076923076923,0.875,0.875,5588,7011,6129,0.857142857142857,0.857142857142857,13,8,8,12,7,7,7,7
68,520302,0.583333333333333,0.416666666666667,-99999,6474,8770,-99999,0.714285714285714,-99999,12,12,0,7,5,0,7,0
68,521501,0.526315789473684,0.578947368421053,-99999,4870.5,7995,-99999,0.857142857142857,-99999,19,19,0,10,11,0,7,0
70,110301,0.611111111111111,0.555555555555556,0.555555555555556,16274,19142,13186.5,0.8,0.8,18,18,18,11,10,10,10,10
70,111006,0.833333333333333,0.916666666666667,0.916666666666667,12357.5,12793,15462,0.9,0.9,12,12,12,10,11,11,10,10
70,151301,0.777777777777778,0.888888888888889,0.888888888888889,17628,20276,20735,1,1,9,9,9,7,8,8,6,6
70,460302,0,0,0,-99999,-99999,-99999,-99999,-99999,6,6,6,0,0,0,0,0
70,470104,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,4,4,4,4,4,4,4,4
70,510000,0.692982456140351,0.719298245614035,0.798245614035088,3834,4580.5,8173,0.896103896103896,0.935064935064935,114,114,114,79,82,91,77,77
70,510716,0.619047619047619,0.590909090909091,0.571428571428571,6793,9602,8471.5,0.923076923076923,0.846153846153846,21,22,21,13,13,12,13,13
70,512602,0.833333333333333,0.833333333333333,0.5,4071,3919,-99999,1,0.6,6,6,6,5,5,3,5,5
70,513801,0.428571428571429,0.428571428571429,0.428571428571429,-99999,-99999,-99999,-99999,-99999,7,7,7,3,3,3,2,2
70,513902,0.5,0.666666666666667,0.5,-99999,-99999,-99999,-99999,-99999,6,6,6,3,4,3,4,4
70,520101,0.8,0.9,0.7,24618.5,21223,25388,0.888888888888889,0.777777777777778,10,10,10,8,9,7,9,9
70,520206,0.7,0.8,0.8,10130,10120.5,10385.5,1,1,10,10,10,7,8,8,7,7
70,520211,0.5,0.5,0.75,-99999,-99999,13430,-99999,-99999,8,8,8,4,4,6,4,4
70,520302,0.8,0.6,0.8,-99999,-99999,-99999,-99999,-99999,5,5,5,4,3,4,4,4
70,521005,0.8,0.8,0.8,-99999,-99999,-99999,-99999,-99999,5,5,5,4,4,4,4,4
70,521206,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,4,4,4,2,2,2,2,2
89,030104,0,0,0,-99999,-99999,-99999,-99999,-99999,8,8,8,0,0,0,0,0
89,110202,0.2,0.125,0.2,-99999,-99999,-99999,-99999,-99999,10,8,5,2,1,1,2,2
89,110901,0,0,0,-99999,-99999,-99999,-99999,-99999,5,5,5,0,0,0,0,0
89,111004,0,0,-99999,-99999,-99999,-99999,-99999,-99999,6,6,3,0,0,0,0,0
89,520201,0.0566037735849057,0.0416666666666667,0.0740740740740741,-99999,-99999,-99999,-99999,-99999,53,48,27,3,2,2,3,3
89,520211,0.1,0.1,0.1,-99999,-99999,-99999,-99999,-99999,10,10,10,1,1,1,1,1
114,340199,0.64,0.68,0.72,5648.5,5516,3419,0.923076923076923,0.923076923076923,25,25,25,16,17,18,13,13
114,510805,0.75,0.583333333333333,0.833333333333333,3538,6850,6497.5,0.777777777777778,1,12,12,12,9,7,10,9,9
114,511020,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3,3,3,2,2,2,2,2
133,320111,0.506702412868633,0.704615384615385,0.71195652173913,5979,7343,9097,0.865546218487395,0.789473684210526,746,650,368,378,458,262,238,152
133,480510,0.5,0.875,0.875,-99999,4193,2052,-99999,-99999,8,8,8,4,7,7,4,4
133,490205,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,4,4,3,4,4,3,3,3
133,510805,0.777777777777778,0.814814814814815,0.80952380952381,3930,4726,5946,0.9375,0.928571428571429,27,27,21,21,22,17,16,14
133,511020,0.754716981132076,0.754716981132076,0.827586206896552,3772.5,6227,6845,0.96875,1,53,53,29,40,40,24,32,20
133,520203,0.725,0.8,0.839285714285714,8879.5,10125,10444,0.953488372093023,0.95,80,65,56,58,52,47,43,40
146,510801,0.857142857142857,0.885714285714286,0.942857142857143,5472,5588,6281,0.928571428571429,0.964285714285714,35,35,35,30,31,33,28,28
146,513901,0.904347826086957,0.923076923076923,0.909090909090909,10566.5,9256,12026,0.961538461538462,0.875,115,65,11,104,60,10,52,8
146,513902,0.88135593220339,0.891304347826087,-99999,6333,7240,-99999,0.928571428571429,-99999,59,46,1,52,41,1,42,1
146,513999,0.930232558139535,0.906976744186046,0.930232558139535,9076.5,8782,9844,0.975,0.975,43,43,43,40,39,40,40,40
147,510801,0.833333333333333,0.875,0.791666666666667,4506,4235,6469,0.833333333333333,0.777777777777778,24,24,24,20,21,19,18,18
147,513901,0.900900900900901,0.909090909090909,0.846153846153846,8929.5,10762.5,10540,0.964285714285714,0.888888888888889,111,66,13,100,60,11,56,9
147,513902,0.804347826086957,0.878787878787879,-99999,6986,7926,-99999,1,-99999,46,33,3,37,29,3,25,2
147,513999,0.821428571428571,0.821428571428571,0.928571428571429,7253,9033,10898,0.95,1,28,28,28,23,23,26,20,20
149,190501,0.6,0.2,-99999,-99999,-99999,-99999,-99999,-99999,5,5,0,3,1,0,1,0
149,301901,0.6,0.5,-99999,10451.5,-99999,-99999,-99999,-99999,10,6,3,6,3,2,3,1
149,513102,0.6,0.6,0.2,-99999,-99999,-99999,-99999,-99999,5,5,5,3,3,1,3,3
149,513501,0.702702702702703,0.666666666666667,0.666666666666667,6945.5,7725,6159.5,0.826086956521739,0.857142857142857,37,33,9,26,22,6,23,7
162,120301,0.685714285714286,0.689655172413793,0.642857142857143,6696.5,6093.5,6522,0.941176470588235,0.8,35,29,14,24,20,9,17,5
162,120503,0.727272727272727,0.782608695652174,0.916666666666667,6200.5,3976.5,3816,0.777777777777778,0.909090909090909,33,23,12,24,18,11,18,11
162,510713,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,2,1,0,1,1,0,1,0
162,510801,0.759562841530055,0.8,0.822784810126582,6755,6619,7912,0.906779661016949,0.87719298245614,183,155,79,139,124,65,118,57
162,513901,0.78021978021978,0.845070422535211,0.95,11664,12554,13352.5,0.978723404255319,1,91,71,40,71,60,38,47,22
162,520201,0.866666666666667,0.866666666666667,0.9,8544,7998,8796,0.923076923076923,1,15,15,10,13,13,9,13,9
162,520407,0.76,0.82,0.787878787878788,6942,7806,8394,0.891891891891892,0.884615384615385,50,50,33,38,41,26,37,26
174,150303,0.827067669172932,0.809090909090909,0.711538461538462,7203.5,7171,7030,0.826086956521739,0.767441860465116,133,110,52,110,89,37,92,43
174,150501,0.773913043478261,0.848837209302326,0.78,8175,8411,9696,0.907692307692308,0.885714285714286,115,86,50,89,73,39,65,35
174,261201,0.880952380952381,0.852941176470588,0.8,8534,8623,8905.5,0.9,0.888888888888889,42,34,10,37,29,8,30,9
174,510601,0.889632107023411,0.904761904761905,0.850746268656716,5773.5,6153.5,7334,0.938864628820961,0.890756302521008,299,252,134,266,228,114,229,119
174,510701,0.94047619047619,0.925373134328358,0.9,6958,7316.5,8227,0.938461538461538,0.9,84,67,30,79,62,27,65,30
174,510801,0.840182648401826,0.897849462365591,0.8625,6222.5,6389,6414,0.922155688622755,0.869565217391304,219,186,80,184,167,69,167,69
174,510805,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,4,4,4,4,4,4,4,4
174,513501,0.833333333333333,0.86046511627907,0.608695652173913,3745.5,3985,5851.5,0.914285714285714,0.684210526315789,48,43,23,40,37,14,35,19
174,513902,0.642857142857143,0.833333333333333,-99999,2416,2405,-99999,0.8,-99999,14,12,3,9,10,3,10,3
176,120505,0.5,0.5,-99999,-99999,-99999,-99999,-99999,-99999,8,8,0,4,4,0,4,0
191,120401,0.770491803278688,0.75,0.777777777777778,3724,3084,4232,0.897435897435897,0.952380952380952,61,48,27,47,36,21,39,21
191,120402,0.611111111111111,0.647058823529412,0.777777777777778,4264,5805,6388,0.8,0.833333333333333,18,17,9,11,11,7,10,6
191,120409,0.708333333333333,0.708333333333333,0.88,4965.5,5145.5,4075.5,0.848484848484849,0.944444444444444,48,48,25,34,34,22,33,18
191,120410,0.833333333333333,-99999,-99999,3953,-99999,-99999,-99999,-99999,6,4,3,5,4,3,3,2
191,120499,1,-99999,-99999,3766,-99999,-99999,-99999,-99999,13,0,0,13,0,0,0,0
193,120401,0.671875,0.660377358490566,0.705882352941177,4773,5117,4650.5,0.810810810810811,0.75,64,53,34,43,35,24,37,24
193,120402,0.4,0.40625,0.416666666666667,3893.5,4493,4286,0.833333333333333,-99999,40,32,12,16,13,5,12,3
193,120409,0.692307692307692,0.653061224489796,0.529411764705882,6203.5,6745.5,9998,0.805555555555556,0.75,52,49,17,36,32,9,36,12
193,120410,0.608695652173913,0.75,0.769230769230769,5491.5,6594,5650.5,0.933333333333333,0.777777777777778,23,20,13,14,15,10,15,9
193,120413,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1,1,1,1,1,1,1,1
193,120499,0.555555555555556,-99999,-99999,7204,-99999,-99999,-99999,-99999,9,0,0,5,0,0,0,0
194,120401,0.706521739130435,0.76,0.805555555555556,4315,4169,3982,0.936170212765957,0.857142857142857,92,75,36,65,57,29,47,21
194,120402,0.5,0.411764705882353,0.6,3322,3282,9129,0.555555555555556,0.8,18,17,10,9,7,6,9,5
194,120409,0.75,0.849056603773585,0.827586206896552,4976.5,4709,6588.5,0.916666666666667,0.777777777777778,64,53,29,48,45,24,36,18
194,120410,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3,3,3,2,3,3,1,1
194,120413,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,2,2,0,1,1,0,1,0
194,120499,0.8,-99999,-99999,5409,-99999,-99999,-99999,-99999,10,4,0,8,2,0,2,0
199,110901,0.909090909090909,0.777777777777778,-99999,6204.5,4056,-99999,0.875,-99999,11,9,2,10,7,2,8,2
199,510601,0.785714285714286,0.753623188405797,0.787878787878788,4524,6115,6284,0.839285714285714,0.84,84,69,33,66,52,26,56,25
199,510716,0.769230769230769,0.761904761904762,0.75,6243.5,7107.5,6821,0.933333333333333,0.857142857142857,26,21,12,20,16,9,15,7
199,510801,0.771428571428571,0.796610169491525,0.852941176470588,4737.5,5311,4914,0.948717948717949,0.956521739130435,70,59,34,54,47,29,39,23
199,513902,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1,1,0,0,0,0,0,0
199,520401,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3,3,2,0,0,1,0,0
200,131206,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,4,2,0,4,2,0,2,0
200,360119,0.4,0.533333333333333,0.5,10102,9931.5,-99999,0.8,-99999,15,15,8,6,8,4,5,1
200,490102,0.363636363636364,0.5,1,-99999,-99999,8735,-99999,-99999,11,8,6,4,4,6,2,2
200,490108,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3,3,0,2,2,0,3,0
206,110901,0.739130434782609,0.816326530612245,0.764705882352941,7050,7829,8305,0.861111111111111,0.769230769230769,69,49,17,51,40,13,36,13
206,510801,0.853658536585366,0.848648648648649,0.83,5914,6194,7264,0.911949685534591,0.840909090909091,205,185,100,175,157,83,159,88
206,513901,0.808864265927978,0.859778597785978,0.93,10216,12297,12466,0.951086956521739,0.987012987012987,361,271,100,292,233,93,184,77
206,513902,0.873239436619718,0.934426229508197,0.952380952380952,5713.5,7776,9968,0.978260869565217,0.96875,71,61,42,62,57,40,46,32
207,110901,0.785714285714286,0.835443037974684,0.714285714285714,7861,7913,7770.5,0.861538461538462,0.705882352941177,98,79,42,77,66,30,65,34
207,150801,0.869565217391304,-99999,-99999,6499,-99999,-99999,-99999,-99999,23,0,0,20,0,0,0,0
207,510801,0.906779661016949,0.876288659793814,0.871794871794872,6132,6520,6864,0.916666666666667,0.903225806451613,118,97,39,107,85,34,84,31
207,513901,0.909090909090909,0.945054945054945,0.933333333333333,9737.5,12305,12314,0.930555555555556,0.914285714285714,154,91,45,140,86,42,72,35
207,513902,0.823529411764706,0.911764705882353,0.846153846153846,5891.5,5403,6744,0.961538461538462,0.818181818181818,34,34,26,28,31,22,26,22
215,110801,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1,1,1,1,1,1,1,1
215,110901,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,2,2,2,2,2,2,2,2
215,430109,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,2,2,2,1,2,2,2,2
215,510708,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1,1,1,1,1,1,1,1
215,510716,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,2,2,2,1,1,1,1,1
215,510720,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,2,2,2,0,0,0,0,0
215,520201,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1,1,1,1,1,1,0,0
215,520401,0.7,0.9,0.7,6074,9512,8996,1,0.857142857142857,10,10,10,7,9,7,7,7
215,521701,0.4,0.4,0.6,-99999,-99999,-99999,-99999,-99999,5,5,5,2,2,3,2,2
219,120401,0.61198738170347,0.612167300380228,0.654411764705882,3047.5,2782,4863,0.797202797202797,0.837837837837838,317,263,136,194,161,89,143,74
219,120413,0.428571428571429,0.833333333333333,-99999,-99999,3239,-99999,-99999,-99999,7,6,4,3,5,3,4,3
226,131401,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,0,0
226,230101,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,0,0
226,231303,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1,0,0,0,0,0,0,0
226,320109,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,2,2,0,1,1,0,1,0
226,510000,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1,1,0,1,1,0,1,0
226,510601,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1,0,0,1,0,0,0,0
226,510713,0.833333333333333,0.8,-99999,5825,-99999,-99999,-99999,-99999,6,5,2,5,4,1,4,2
226,510714,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,4,2,0,2,2,0,2,0
226,510720,0.875,0.75,0.75,4070,1771,3762,1,1,16,8,8,14,6,6,6,6
226,510801,0.416666666666667,0.555555555555556,0.714285714285714,3778,5836,7344,1,-99999,24,18,7,10,10,5,7,3
226,510902,0.692307692307692,0.933333333333333,0.833333333333333,7062,6584.5,8242,1,0.833333333333333,26,15,6,18,14,5,13,6
226,511009,0.484848484848485,0.64,0.714285714285714,5003,5319.5,6136,0.928571428571429,1,33,25,14,16,16,10,14,8
226,513501,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,2,1,2,1,1,2,0,1
226,513902,0.666666666666667,0.75,0.6,4755,3602,-99999,0.833333333333333,-99999,12,8,5,8,6,3,6,3
228,490304,0.561728395061728,0.659863945578231,0.551282051282051,8122,8245,10675,0.935483870967742,0.739130434782609,162,147,78,91,97,43,62,23
236,470302,0.852941176470588,0.84,-99999,10178.5,10813.5,-99999,0.897435897435897,-99999,68,50,0,58,42,0,39,0
236,470613,0.815261044176707,0.813186813186813,0.880597014925373,9279,10149.5,11876,0.91304347826087,0.895833333333333,249,182,67,203,148,59,138,48
236,480508,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,0,0,0,0,0
240,120401,0.558232931726908,0.641791044776119,0.647058823529412,3477,4122,4370,0.789473684210526,0.767441860465116,249,201,85,139,129,55,114,43
240,120413,0.857142857142857,0.8,-99999,2815,-99999,-99999,-99999,-99999,7,5,3,6,4,2,4,2
254,220301,0.666666666666667,0.75,-99999,4070,5450,-99999,1,-99999,12,12,3,8,9,3,6,3
254,510714,0.666666666666667,0.75,0.75,6580.5,5715,7237.5,0.9375,1,24,20,8,16,15,6,16,6
254,510801,0.792682926829268,0.823076923076923,0.681818181818182,5758,6560,7230,0.904255319148936,0.6875,164,130,22,130,107,15,94,16
254,513501,0.730769230769231,0.651162790697674,0.666666666666667,4492,4571,5656,0.806451612903226,0.75,52,43,9,38,28,6,31,8
259,510801,0.701492537313433,0.735849056603774,0.851851851851852,5937,6120,8382,0.90625,0.916666666666667,67,53,27,47,39,23,32,12
259,510803,0.641025641025641,0.726530612244898,0.867132867132867,6473.5,11130,13140,0.905511811023622,0.923076923076923,312,245,143,200,178,124,127,65
259,510901,0.722222222222222,0.779310344827586,0.826666666666667,8741,9840,11494,0.912087912087912,0.914285714285714,198,145,75,143,113,62,91,35
259,510909,0.708860759493671,0.75,0.837837837837838,9656,10454,10008,0.871794871794872,0.941176470588235,79,68,37,56,51,31,39,17
259,510910,0.674418604651163,0.720930232558139,0.65,8316,8370,10124,0.884615384615385,0.8,43,43,20,29,31,13,26,10
259,513901,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,3,3,3,1,2,3,1,1
260,513501,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1,1,0,1,1,0,1,0
262,513501,0.6,0.745454545454545,0.740740740740741,3838.5,4604,5696,0.918918918918919,0.833333333333333,70,55,27,42,41,20,37,18
279,490205,0.680933852140078,0.708333333333333,0.739130434782609,9568,10156.5,13502,0.821705426356589,0.766666666666667,257,192,92,175,136,68,129,60
288,150501,0.692682926829268,0.723270440251572,0.825,7870,9490,11008.5,0.877777777777778,0.971428571428571,205,159,80,142,115,66,90,35
288,460302,0.765625,0.786885245901639,0.822784810126582,7259.5,8099.5,8045,0.863309352517986,0.814814814814815,256,183,79,196,144,65,139,54
288,470604,0.761806981519507,0.776315789473684,0.792349726775956,6995,7358,8433,0.916058394160584,0.848739495798319,487,380,183,371,295,145,274,119
288,480510,0.827160493827161,0.884057971014493,0.916666666666667,10101,11266.5,13753,0.936363636363636,0.92156862745098,162,138,72,134,122,66,110,51
289,150501,0.604166666666667,0.739583333333333,0.655172413793103,7472.5,7787,7759,0.913793103448276,0.692307692307692,96,96,29,58,71,19,58,13
289,460302,0.686046511627907,0.686046511627907,0.72,5638,5004,8152.5,0.862068965517241,0.8,86,86,25,59,59,18,58,15
289,470201,0.4,0.56,0.5,5001.5,7099.5,6447.5,0.7,0.714285714285714,25,25,12,10,14,6,10,7
289,470604,0.792682926829268,0.829268292682927,0.869565217391304,6438,7399.5,10069.5,0.898550724637681,0.947368421052632,82,82,23,65,68,20,69,19
307,460302,0.555555555555556,0.571428571428571,0.611111111111111,3933.5,3095,4960,0.69047619047619,0.75,90,77,36,50,44,22,42,16
