ID,NAME,CODE,ISSUERID,DATECREATED,DATELASTMODIFIED,ISDELETED,DATEDELETED
549,Dreamweaver 3.0,0562,79,,,1,16-MAY-11
550,Dreamweaver Certification,0563,79,,16-MAY-11,0,
551,Dynamic HTML,0564,79,,,0,
552,E-Commerce Concepts,0565,79,,,0,
553,E-Commerce Implementation,0566,79,,,0,
554,ERP Concepts,0567,79,,,0,
555,ERwin 3.5.2 Administration,0568,79,,,0,
425,Child Development Associate  National Credential,0433,100,,,0,
426,Child Development Associate National Credential,0434,100,,,1,13-MAY-09
427,Cisco Certified Design Associate  - Routing & Switching,0435,91,,,0,
428,Cisco Certified Design Professional  - Routing & Switching,0436,91,,,0,
429,Cisco Certified Design Professional  - SNA/IP Integration,0437,91,,,0,
285,Certified Manager (https://www.icpm.biz/index.php/icpm_site/certified-manager),0292,115,,23-JAN-20,0,
286,Certified Manager of Reporting Services,0293,194,,,0,
287,Certified Manufacturing Engineer,0294,238,,,0,
288,Certified Manufacturing Technologist,0295,238,,,0,
289,Certified Master Chef,0296,33,,,1,02-NOV-18
290,Certified Master Pasty Chef,0297,33,,,1,02-NOV-18
291,Mechanical Inspector Certification (CMI),0298,53,,16-APR-09,1,24-JAN-20
292,Certified Medical Assistant,0299,90,,,0,
293,Certified Medical Staff Coordinator,0300,154,,,0,
294,Certified Medical Transcriptionist,0301,9,,,0,
295,Certified Meeting Professional,0302,129,,,0,
296,Certified Network Computer Technician,0303,103,,,0,
297,Certified Network Systems Technician,0304,103,,,0,
298,Certified Novell Administrator  - GroupWise 4,0305,218,,,0,
299,Certified Novell Administrator  - GroupWise 5,0306,218,,,0,
300,Certified Novell Administrator  - NetWare 3,0307,218,,,0,
301,Certified Novell Administrator  - NetWare 5,0308,218,,,0,
302,Certified Novell Administrator  - intraNetWare,0309,218,,,0,
303,Certified Novell Engineer  - GroupWise 4,0310,218,,,0,
304,Certified Novell Engineer  - GroupWise 5,0311,218,,,0,
305,Certified Novell Engineer  - NetWare 3,0312,218,,,0,
306,Certified Novell Engineer  - NetWare 5,0313,218,,,0,
307,Certified Novell Engineer  - intraNetWare,0314,218,,,0,
308,Certified Nuclear Medicine Technologist,0315,219,,,0,
309,Certified Nursing Assistant,0316,46,,,0,
310,Certified Nursing Home Administrator,0317,25,,,0,
311,CERTIFIED OCCUPATIONAL HEALTH NURSE (COHN),0318,15,,02-NOV-18,0,
312,CERTIFIED OCCUPATIONAL HEALTH NURSE-SPECIALIST (COHN-S),0319,15,,02-NOV-18,0,
313,Certified Occupational Therapy Assistant,0320,176,,,0,
314,Certified Occupational Therapy Assistant - Advanced Practitioner,0321,47,,,0,
315,Certified Office Laboratory Technician,0322,44,,,1,02-NOV-18
316,Certified Ornamental Landscape Professional,0323,224,,,0,
317,Certified Orthodontic Assistant,0324,101,,,0,
318,Certified Fitter of Orthotics ,0325,14,,13-FEB-08,1,02-NOV-18
319,Certified Packaging Professional,0326,121,,,0,
320,Certified Park and Recreation Professional,0327,207,,,0,
321,Certified Pastry Culinarian,0328,33,,,1,02-NOV-18
322,Certified Paver Installers,0329,126,,,0,
323,Certified Payroll Professional,0330,48,,,0,
324,Certified Pediatric Nurse Practitioner,0331,182,,,0,
325,Certified Pension Consultant,0332,58,,,0,
326,Certified Permanent Cosmetics Technician,0333,7,,13-FEB-08,0,
327,Certified Personal Communications Service -Cellular Technician,0334,91,,,1,12-MAY-09
328,Certified Pharmacy Technician,0336,222,,,0,
329,Certified Phlebotomist,0337,205,,,0,
330,Certified Physician Assistant,0338,188,,,0,
331,Certified Planner,0339,39,,,0,
332,Certified Podiatric Medical Assistant,0340,60,,,0,
333,Certified Poetry Therapist,0341,197,,,0,
334,Certified Professional Agronomist,0342,54,,,0,
335,Certified Professional Building Designer,0343,193,,,0,
336,Certified Professional Contracts Manager,0344,190,,,0,
337,Certified Professional Crop Scientist,0345,54,,,0,
338,Certified Professional Development Trainer,0346,242,,,0,
339,Certified Professional Ergonomist,0347,77,,,0,
340,Certified Professional Fleet Manager,0348,206,,,0,
341,Certified Professional Legal Secretary,0349,168,,,0,
342,Certified Professional Logistician,0350,141,,,0,
343,Demonstrated Logistician,0351,141,,11-FEB-08,0,
344,Certified Professional Plant Pathologist,0352,54,,,1,24-JAN-20
345,Certified Professional Secretary,0353,128,,,0,
346,Certified Professional Services Marketer,0354,234,,,0,
347,Certified Professional Soil Scientist,0355,54,,,0,
348,Certified Professional Traffic Operations Engineer,0356,122,,,0,
349,Certified Professional Weed Scientist,0357,54,,,1,24-JAN-20
350,Certified Professional in Healthcare Quality,0358,107,,,0,
351,Certified Shoe Fitter ,0359,14,,13-FEB-08,1,02-NOV-18
352,Orthotist & Prosthetist,0360,14,,02-NOV-18,0,
353,Certified Protection Officer,0361,136,,,0,
354,Certified Protection Officer Instructor,0362,136,,,0,
355,Certified Protection Professional,0363,57,,,0,
356,Certified Provider Credentialing Specialist,0364,154,,,0,
357,Certified Public Accountant,0365,40,,,0,
358,Certified Pulmonary Function Technologist,0366,179,,,0,
359,Certified Pump Installer,0367,200,,,0,
360,Certified Purchasing Manager,0368,170,,,0,
361,Quality Auditor Certification,0369,53,,16-APR-09,0,
362,Quality Engineer Certification,0370,53,,16-APR-09,0,
363,Quality Manager Certification,0371,53,,16-APR-09,1,24-JAN-20
364,Quality Technician Certification (CQT),0372,53,,16-APR-09,0,
365,Certified RV Service Technician,0373,229,,,0,
366,Certified Radiology Equipment Technician,0374,,,,0,
367,Certified Real Estate Appraiser,0375,171,,,0,
368,Certified Real Estate Brokerage Manager,0376,228,,,0,
369,Certified Realtime Reporter,0377,194,,,0,
370,Certified Records Manager,0378,116,,,0,
371,Certified Registered Central Service Technician,0379,132,,,0,
372,Certified Registered Nurse First Assistant,0380,85,,,0,
373,Certified Registered Nurse Intravenous,0381,142,,,0,
374,Certified Registered Nurse in Opthalmology,0382,185,,,0,
375,"Certified Registered Nurse, Hospice",0383,177,,,0,
376,Certified Rehabilitation Counselor,0384,,,,0,
377,Certified Rehabilitation Counselor - Clinical Supervisor,0385,93,,,0,
378,Certified Rehabilitation Counselor - Master Addictions Counselor,0386,,,,0,
379,Reliability Engineer Certification (CRE),0387,53,,16-APR-09,0,
380,Certified Remodeler,0388,174,,,0,
381,Certified Remodeler Associate,0389,174,,,0,
382,Certified Respiratory Therapy Technician,0390,179,,,0,
383,Certified Rooms Division Executive,0391,36,,,0,
384,Certified Satellite Installer,0392,103,,,0,
385,Certified Security Supervisor,0393,136,,,0,
386,Certified Security Trainer,0394,2,,,0,
387,Certified Senior Industrial Technologist,0395,165,,,0,
388,Software Quality Engineer Certification (CSQE),0396,53,,16-APR-09,0,
389,Certified Sous Chef,0397,33,,,1,02-NOV-18
390,Certified Sterile Processing and Distribution Manager,0398,203,,,0,
391,Certified Sterile Processing and Distribution Supervisor,0399,203,,,0,
392,Certified Sterile Processing and Distribution Technician,0400,203,,,0,
393,Certified Store Professional Program,0401,159,,,0,
394,Certified Surgical Technologist,0402,145,,,0,
395,Certified Surgical Technologist/Certified First Assistant,0403,145,,,0,
396,Certified System Administrator:  Informix Dynamic Server Version,0404,114,,23-JAN-20,0,
397,Certified System Administrator:  Red Brick Decision Server Version,0405,114,,23-JAN-20,0,
398,Certified Technical Trainer,0406,242,,,0,
399,Certified Temperament Counselor,0407,186,,,0,
400,Professional Designation in Logistics and Supply Chain Management (PLS),0408,62,,08-APR-14,0,
401,Certified Transportation Broker,0409,246,,,0,
402,Certified Transportation Professional,0410,206,,,0,
403,Certified Travel Associate,0411,117,,,0,
404,Certified Travel Counselor,0412,117,,,0,
405,Certified Turfgrass Professional,0413,224,,,0,
406,Certified Urologic Associate,0414,84,,,0,
407,Certified Urologic Clinical Nurse Specialist,0415,84,,,0,
408,Certified Urologic Nurse Practitioner,0416,84,,,0,
409,Certified Urologic Physician's Assistant,0417,60,,,0,
410,Certified Urologic Registered Nurse,0418,84,,,0,
411,CompTIA CASP,0419,96,,02-NOV-18,0,
412,Certified Welder Program,0420,63,,,0,
413,Certified Well Driller,0421,200,,,0,
414,Certified Working Pastry Chef,0422,33,,,1,02-NOV-18
415,Certified in Financial Management,0423,119,,,0,
416,Certified in Plumbing Engineering,0424,59,,,0,
417,"Certifying Board of Gastroenterology Nurses and Associates, Inc",0425,84,,,1,13-MAY-09
418,Chauffeured Transportation Certification - Gold Level,0426,204,,13-MAY-09,0,
419,Chauffeured Transportation Certification - Master Level,0427,204,,13-MAY-09,0,
420,Chauffeured Transportation Certification - Platinum Level,0428,204,,13-MAY-09,0,
421,Chauffeured Transportation Certification - Silver Level,0429,204,,13-MAY-09,0,
422,Check Point Firewall-1 Administration Certification,0430,79,,,0,
284,Certified Management Consultant,0291,120,,,0,
423,Chemical Hygiene Officer  Certification,0431,208,,,1,13-MAY-09
424,Chemical Hygiene Officer Certification,0432,208,,,0,
152,Certificate of Added Qualifications: Obstetrics,0155,184,,13-MAY-09,0,
153,Certificate of Proficiency for the Treatment of Alcohol and Other,0156,49,,,0,
154,Certification Board for Urologic Nurses and Associates,0157,60,,,0,
155,Certification for Reliability and Maintenance Management,0158,233,,,0,
156,Certification in Meetings Management,0159,129,,,1,23-JAN-20
157,Certified 4GL Developer,0160,114,,23-JAN-20,0,
158,Certified Administrative Manager,0161,115,,,0,
159,Certified Administrative Professional,0162,128,,,0,
160,Certified Apartment Maintenance Technician,0163,153,,,0,
161,Certified Associate Contracts Manager,0164,190,,,0,
162,Certified Audio-Video Distribution Technician,0165,103,,,0,
163,Certified Automotive Fleet Manager,0166,162,,,1,
164,Certified Baker Program,0167,38,,,0,
165,Certified Benefits Professional,0168,29,,,0,
166,Certified Biomedical Equipment Technician,0169,133,,,0,
167,Certified Business Communicator,0170,83,,,0,
168,CompTIA Certified Document Imaging Architect (CDIA+) ,0171,96,,23-FEB-10,1,02-NOV-18
169,Certified Cash Manager,0172,72,,,0,
170,Certified Cash Manager Associate,0173,72,,,0,
171,Certified Chef de Cuisine,0174,33,,,1,02-NOV-18
172,Certified Chemical Dependency Nurse,0175,189,,,0,
173,Certified Colon Hydrotherapy,0176,127,,,0,
174,Certified Commercial Real Estate Appraiser,0177,171,,,0,
175,Certified Compensation Professional,0178,29,,,0,
176,Certified Computer Service Technician,0179,103,,,0,
177,Certified Consultant  - Inventory V4.0,0180,245,,,0,
178,Certified Consultant  - Tivoli Distributed Monitoring V3.7,0181,245,,,0,
179,Certified Consultant  - Tivoli Enterprise Console V3.7,0182,245,,,0,
180,Certified Consultant  - Tivoli NetView V6.0,0183,245,,,0,
181,Certified Consultant  - Tivoli SANergy Management V6.0,0184,245,,,0,
182,Certified Consultant  - Tivoli SecureWay Policy Director V3.7,0185,245,,,0,
183,Certified Consultant  - Tivoli SecureWay Security Manager V3.7,0186,245,,,0,
184,Certified Consultant  - Tivoli SecureWay User Administration V3,0187,245,,,0,
185,Certified Consultant  - Tivoli Software Distribution V4.1,0188,245,,,0,
186,Certified Consultant  - Tivoli Storage Manager V6.0,0189,245,,,0,
187,Certified Consultant  - Tivoli Workload Scheduler V7.0,0190,245,,,0,
188,Certified Control Systems Technician (CCST),0191,123,,13-MAY-09,0,
189,Certified Automation Professional (CAP),0196,123,,13-MAY-09,0,
190,"Certified Control Systems Technician, - Level I",0194,123,,,1,13-MAY-09
191,Certified Corporate Travel Executive,0197,180,,,0,
192,Certified Cost Consultant,0198,74,,,0,
193,Certified Cost Engineer,0199,74,,,0,
194,Certified Cost Estimator/Analyst,0200,236,,,0,
195,Certified Course Director,0201,99,,,0,
196,Certified Credit Executive,0202,160,,,0,
197,Certified Crop Advisor Program,0203,54,,,0,
198,Certified Culinarian,0204,33,,,1,02-NOV-18
199,Certified Customer Service Specialist,0205,103,,,0,
200,Certified Dental Assistant,0206,101,,,0,
201,Certified Dental Practice Management Assistant,0207,101,,,1,02-NOV-18
202,Certified Dental Technician,0208,161,,,0,
203,Certified Destination Management Executive,0209,129,,,1,23-JAN-20
204,Certified Disability Management Specialist,0210,86,,,0,
205,Certified Disability Specialist,0211,19,,,0,
206,Certified Dynamic 4GL Developer,0212,114,,23-JAN-20,0,
207,Certified Electronic Commerce Technician,0213,103,,,0,
208,Certified Electronics Technician,0214,103,,,0,
209,Certified Emergency Manager,0215,131,,,0,
210,Certified Emergency Nurses,0216,76,,,0,
211,Certified Employee Assistance Professional,0217,104,,,0,
212,Certified Employee Benefit Specialist,0218,137,,,0,
213,Certified Engineering Operations Executive,0219,36,,,0,
214,Certified Enterprise Integrator,0220,238,,,0,
215,Certified Environmental Auditor,0221,196,,,0,
216,Certified Environmental Health Technician (Entry-Level),0222,196,,,0,
217,Certified Environmental Systems Manager,0223,196,,,0,
218,Certified Executive Chef,0224,33,,,1,02-NOV-18
219,Certified Executive Housekeeper,0225,135,,,0,
220,Certified Executive Pastry Chef,0226,33,,,1,02-NOV-18
221,Certified Exterior Landscape Technician,0227,70,,,0,
222,Certified Fiber Optics Installer,0228,103,,,0,
223,Certified Financial Examiner,0229,237,,,0,
224,Certified Financial Planner,0230,87,,,0,
225,Certified Fire Protection Specialist,0231,198,,,0,
226,Certified Flight Registered Nurses,0232,76,,,0,
227,Certified Food Safety Professional,0233,196,,,0,
228,Certified Forms Systems Professional,0234,82,,,0,
229,Certified Fund Raising Executive,0235,214,,,0,
230,Certified Gastroenterology Licensed Vocational/Practical Nurse,0236,89,,,0,
231,Certified Gastroenterology Registered Nurse,0237,84,,,0,
232,Certified Government Auditing Professional,0238,118,,,0,
233,Certified Graduate Remodeler (CGR),0239,164,,25-FEB-10,0,
234,Certified Grounds Keepers,0240,223,,,0,
235,Certified Grounds Manager,0241,223,,,0,
236,Certified Healthcare Executive,0242,26,,,0,
237,Professional Supervisors of the Audiometric Monitoring Program ,0243,99,,01-JUL-09,0,
238,Certified Home/Hospice Care Executive,0244,156,,,0,
239,Certified Hospitality Accountant Executive,0245,110,,,0,
240,Certified Hospitality Administrator,0246,36,,,0,
241,Certified Hospitality Housekeeping Executive,0247,36,,,0,
242,Certified Hospitality Sales Professional,0248,36,,,0,
243,Certified Hospitality Supervisor,0249,36,,,0,
244,Certified Hospitality Technology Professional,0250,110,,,0,
245,Certified Human Factor Professional,0251,77,,,0,
246,Certified Industrial Technologist,0252,165,,,0,
247,Certified Information Systems Auditor,0253,112,,23-JAN-20,0,
248,Certified Information Technology Professional,0254,40,,,0,
249,Certified Insurance Data Manager,0255,124,,,0,
250,Certified Interior Landscape Technician,0256,70,,,0,
251,Certified Internal Auditor Certification in Control Self-Assess,0257,118,,,0,
252,Certified Internet Webmaster  Associate (prerequisite to any Masters),0259,227,,,1,23-JAN-20
253,Certified Investment Consultants Association,0260,143,,,0,
254,Certified Jail Technician,0261,213,,,0,
255,Certified Kennel Operator,0262,24,,24-JUL-19,0,
256,Certified Laboratory Consultant,0263,44,,,1,02-NOV-18
257,Certified Laboratory Equipment Technician,0264,44,,,1,02-NOV-18
258,Certified Landscape Professional,0265,70,,,0,
259,Certified Legal Assistant,0266,166,,,0,
260,Certified Legal Assistant Specialist:  Bankruptcy,0267,166,,,0,
261,Certified Legal Assistant Specialist:  Civil Litigation,0268,166,,,0,
262,Certified Legal Assistant Specialist:  Corporate/Business Law,0269,166,,,0,
263,Certified Legal Assistant Specialist:  Criminal Law and Procedures,0270,166,,,0,
264,Certified Legal Assistant Specialist:  Intellectual Property,0271,166,,,0,
265,Certified Legal Assistant Specialist:  Probate and Estates,0272,166,,,0,
266,Certified Legal Assistant Specialist:  Real Estate,0273,166,,,0,
267,Certified Legal Investigator,0274,167,,,0,
268,Certified Legal Manager,0275,75,,,0,
269,Certified Legal Video Specialist,0276,194,,,0,
270,Certified Leisure Associate,0277,207,,,1,02-NOV-18
271,Certified Leisure Professional,0278,207,,,1,02-NOV-18
272,Certified Lotus Professional  - Domino Messaging Administrator,0279,147,,,0,
273,Certified Lotus Professional  - Notes Application Developer,0280,147,,,0,
274,Certified Lotus Professional  - Notes System Administrator,0281,147,,,0,
275,Certified Lotus Professional  - Principal Notes Application Developer,0282,147,,,0,
276,Certified Lotus Professional  - Principal Notes System Administrator,0283,147,,,0,
277,Certified Lotus Professional  - cc:Mail System Administrator,0284,147,,,0,
278,Certified Lotus Specialist,0285,147,,,0,
279,Certified Machine Tool Sales Engineer,0286,42,,,0,
280,Certified Mail Manager,0287,138,,,0,
281,Certified Managed Care Executive,0288,43,,,0,
282,Certified Managed Care Nurse,0289,17,,,0,
283,Certified Management Accountant,0290,119,,,0,
151,Certificate of Added Qualifications: Gynecological/Reproductive,0154,184,,13-MAY-09,0,
2,3Com Certified LAN Pre-Sales Expert,0002,1,,11-FEB-08,0,
3,3Com Certified LAN Post-Sales Expert,0003,1,,11-FEB-08,0,
4,3Com Certified IP Telephony NBX Expert,0004,1,,11-FEB-08,0,
5,3Com Certified IP Telephony VCX Expert,0005,1,,11-FEB-08,0,
6,3Com Certified WAN Expert,0006,1,,11-FEB-08,0,
7,3D Studio MAX Certification,0007,79,,,0,
8,CompTIA A+,0008,96,,02-NOV-18,0,
9,ABAP,0009,79,,,0,
10,ABVM Diplomate,0010,27,,,0,
11,ABVS Diplomate,0011,28,,,0,
12,ACSM Exercise Leader Certification,0012,31,,,1,02-NOV-18
13,ACSM Health/Fitness Director Certification,0014,31,,,1,02-NOV-18
14,Certified Personal Trainer,0016,31,,02-NOV-18,0,
15,AIX and IBM e-server pSeries (RS/6000),0018,112,,23-JAN-20,0,
16,ALS Certification,0019,73,,,0,
17,Certified Inspector (CI),0020,56,,02-NOV-18,0,
18,Accessibility Inspector/Plans Examiner,0021,134,,,0,
19,Accredited Advisor in Insurance,0022,125,,,0,
20,Accredited Agricultural Consultant Certification,0023,55,,,0,
21,Accredited Business Accountant/Advisor,0024,3,,02-NOV-18,0,
22,Accredited Farm Manager Certification,0025,55,,,0,
23,Accredited Financial Examiner,0026,237,,,0,
24,Accredited Legal Secretary Certification,0027,168,,,0,
25,Accredited Purchasing Practitioner,0028,170,,,0,
26,Accredited Tax Advisor,0029,3,,02-NOV-18,0,
27,Accredited Tax Preparer,0030,3,,02-NOV-18,0,
28,Accredited Valuation Professional,0031,40,,,0,
29,Active Server Pages,0032,79,,,0,
30,ActiveX,0033,79,,,0,
31,Acupuncture,0034,183,,,0,
32,Adabas Administration,0035,79,,,0,
33,Adobe Framemaker 5.5,0036,79,,,0,
34,Adobe Illustrator 8.0,0037,79,,,0,
35,Adobe PageMaker 6.5,0038,79,,,0,
36,Adobe Photoshop 5.5,0039,79,,,1,16-MAY-11
37,Adobe Photoshop Certification,0040,79,,16-MAY-11,0,
38,Adult Care Nurse Practitioner,0041,45,,,1,02-NOV-18
39,Adult Nurse Practitioner,0042,45,,,1,02-NOV-18
40,Advanced Certified Clinical Nurse Specialist,0043,10,,,0,
41,Advanced Engine Performance Technician,0044,,,,0,
42,Advanced Remotivation Therapy,0045,211,,,0,
43,Advanced Scuba Diver Certification,0046,173,,,0,
44,Air Conditioning Contractors of America,0047,6,,,1,13-MAY-09
45,AC Excellence Technician - Geothermal Heat Pump,0048,6,,13-MAY-09,0,
46,AC Excellence Technician - Residential Light,0049,6,,13-MAY-09,0,
47,AC Excellence Technician Certification,0050,6,,13-MAY-09,0,
48,Air Conditioning Installation Technician Certification,0051,217,,,0,
49,Air Conditioning Service Technician Certification,0052,217,,,0,
50,Air Distribution Installation Technician Certification,0053,217,,,0,
51,Air Distribution Service Technician Certification,0054,217,,,0,
52,Alternative Fuels (Compressed Natural Gas) Technician,0055,,,,0,
53,American Board of Opticianry Certified,0056,18,,,0,
54,American Board of Veterinary Toxicology Certification,0057,23,,,0,
55,Accredited Retirement Advisor,0058,3,,02-NOV-18,0,
56,Apache 1.3.12 Administration Certification,0059,79,,,0,
57,Appliance Servicing Certification,0060,67,,,1,
58,Application Development,0061,112,,23-JAN-20,0,
59,"Applied Measurement Professionals, Incorporated",0062,43,,,1,13-MAY-09
60,Certified Clinical Mental Health Counselor (CCMHC),0063,175,,02-NOV-18,0,
61,Aquatic Fitness Professionals Association,0064,65,,,1,13-MAY-09
62,Aquatic Fitness Professionals Association Instructor Certification,0065,66,,,0,
